school,Seed,Regional,G,teamid
Arkansas,1,Fayetteville,56,31
Nebraska,2,Fayetteville,43,463
Northeastern,3,Fayetteville,46,500
NJIT,4,Fayetteville,48,471
Texas,1,Austin,57,703
Arizona St.,2,Austin,52,28
Fairfield,3,Austin,40,220
Southern U.,4,Austin,48,665
Tennessee,1,Knoxville,61,694
Duke,2,Knoxville,52,193
Liberty,3,Knoxville,53,355
Wright St.,4,Knoxville,46,810
Vanderbilt,1,Nashville,55,736
Georgia Tech,2,Nashville,52,255
Indiana St.,3,Nashville,49,305
Presbyterian,4,Nashville,43,1320
Arizona,1,Tucson,55,29
Oklahoma St.,2,Tucson,53,521
UC Santa Barbara,3,Tucson,57,104
Grand Canyon,4,Tucson,59,1104
TCU,1,Fort Worth,57,698
Oregon St.,2,Fort Worth,56,528
DBU,3,Fort Worth,52,1045
McNeese,4,Fort Worth,60,402
Mississippi St.,1,Starkville,55,430
VCU,2,Starkville,51,740
Campbell,3,Starkville,51,115
Samford,4,Starkville,57,625
Texas Tech,1,Lubbock,51,700
UCLA,2,Lubbock,53,110
North Carolina,3,Lubbock,52,457
Army West Point,4,Lubbock,51,725
Stanford,1,Stanford,47,674
UC Irvine,2,Stanford,56,109
Nevada,3,Stanford,43,466
North Dakota St.,4,Stanford,58,493
Notre Dame,1,South Bend,41,513
UConn,2,South Bend,50,164
Michigan,3,South Bend,44,418
Central Mich.,4,South Bend,56,129
Old Dominion,1,Columbia,56,523
South Carolina,2,Columbia,54,648
Virginia,3,Columbia,52,746
Jacksonville,4,Columbia,48,316
Ole Miss,1,Oxford,60,433
Southern Miss.,2,Oxford,56,664
Florida St.,3,Oxford,52,234
Southeast Mo. St.,4,Oxford,50,654
East Carolina,1,Greenville,56,196
Charlotte,2,Greenville,58,458
Maryland,3,Greenville,44,392
Norfolk St.,4,Greenville,51,485
Oregon,1,Eugene,51,529
Gonzaga,2,Eugene,50,260
LSU,3,Eugene,56,365
Central Conn. St.,4,Eugene,41,127
Florida,1,Gainsville,58,235
Miami (FL),2,Gainsville,51,415
South Alabama,3,Gainsville,53,646
South Fla.,4,Gainsville,56,651
Louisiana Tech,1,Ruston,58,366
NC State,2,Ruston,47,490
Alabama,3,Ruston,53,8
Rider,4,Ruston,39,576
