"Player","school","conference","IBB"
"Sabato, Aaron","North Carolina","ACC",1
"Serretti, Danny","North Carolina","ACC",1
"Harris, Dylan","North Carolina","ACC",NA
"Madej, Mikey","North Carolina","ACC",NA
"Zarate, Angel","North Carolina","ACC",NA
"Lancellotti, Joey","North Carolina","ACC",NA
"Alvarez, Patrick","North Carolina","ACC",NA
"Tessar, Dallas","North Carolina","ACC",NA
"Stewart, Will","North Carolina","ACC",1
"Schroeder, Will","North Carolina","ACC",NA
"Causey, Tyler","North Carolina","ACC",NA
"Grintz, Eric","North Carolina","ACC",NA
"Semper, Earl","North Carolina","ACC",NA
"Inclan, Clemente","North Carolina","ACC",NA
"Mott, Kyle","North Carolina","ACC",NA
"Joyner, Chris","North Carolina","ACC",NA
"Smith, Kyle","North Carolina","ACC",NA
"Holtzapple, Jake","North Carolina","ACC",NA
"Rapp, Shawn","North Carolina","ACC",NA
"Love, Austin","North Carolina","ACC",NA
"Pry, Nik","North Carolina","ACC",NA
"Gillian, Gage","North Carolina","ACC",NA
"Elliot, Austin","North Carolina","ACC",NA
"O'Brien, Caden","North Carolina","ACC",NA
"Palermo, Davis","North Carolina","ACC",NA
"Alba, Max","North Carolina","ACC",NA
"Kehoe, Tyler","North Carolina","ACC",NA
"Sandy, Will","North Carolina","ACC",NA
"Ollio, Connor","North Carolina","ACC",NA
"Charles, Joseph","North Carolina","ACC",NA
"Roberts, Caleb","North Carolina","ACC",NA
"James, Nick","North Carolina","ACC",NA
"Oh, Michael","North Carolina","ACC",NA
"Blendinger, Kyle","North Carolina","ACC",NA
"Totals","North Carolina","ACC",3
"Opponent Totals","North Carolina","ACC",2
"Martin, Robby","Florida St.","ACC",NA
"Albert, Reese","Florida St.","ACC",NA
"De Sedas, Nander","Florida St.","ACC",1
"Cabell, Elijah","Florida St.","ACC",2
"Nelson, Matheu","Florida St.","ACC",1
"Martin, Tyler","Florida St.","ACC",NA
"Greene, Jackson","Florida St.","ACC",1
"Smith, Carter","Florida St.","ACC",NA
"Simmons, Dylan","Florida St.","ACC",NA
"Lacey, Logan","Florida St.","ACC",NA
"Haney, Chase","Florida St.","ACC",NA
"Swanson, Cooper","Florida St.","ACC",NA
"Brewer, Tyrell","Florida St.","ACC",NA
"Kirkland, Doug","Florida St.","ACC",NA
"Baldor, Nico","Florida St.","ACC",NA
"Scolaro, Jonah","Florida St.","ACC",NA
"Hubbart, Bryce","Florida St.","ACC",NA
"Hare, Davis","Florida St.","ACC",NA
"Kwiatkowski, Clayton","Florida St.","ACC",NA
"Messick, Parker","Florida St.","ACC",NA
"Ahearn, Tyler","Florida St.","ACC",NA
"Velez, Antonio","Florida St.","ACC",NA
"Perry, Isaiah","Florida St.","ACC",NA
"Grady, Conor","Florida St.","ACC",NA
"Anderson, Jack","Florida St.","ACC",NA
"Drohan, Shane","Florida St.","ACC",NA
"Van Eyk, CJ","Florida St.","ACC",NA
"Walker, Brandon","Florida St.","ACC",NA
"Totals","Florida St.","ACC",5
"Opponent Totals","Florida St.","ACC",NA
"Hackenberg, Adam","Clemson","ACC",NA
"Meredith, Kier","Clemson","ACC",NA
"Henderson, Elijah","Clemson","ACC",NA
"Sharpe, Davis","Clemson","ACC",NA
"Brewer, Dylan","Clemson","ACC",NA
"Hawkins, Bryar","Clemson","ACC",NA
"Hall, Sam","Clemson","ACC",1
"Majkowski, Bo","Clemson","ACC",NA
"Parker, James","Clemson","ACC",NA
"Fairey, Chad","Clemson","ACC",NA
"Starbuck, Mac","Clemson","ACC",NA
"Spiers, Carson","Clemson","ACC",NA
"Teodosio, Bryce","Clemson","ACC",NA
"Gilbert, Geoffrey","Clemson","ACC",NA
"Hoffmann, Nick","Clemson","ACC",NA
"Gallo, Pierce","Clemson","ACC",NA
"Clayton, Nick","Clemson","ACC",NA
"Askew, Keyshawn","Clemson","ACC",NA
"Raffield, Carter","Clemson","ACC",NA
"Strider, Spencer","Clemson","ACC",NA
"Weatherly, Sam","Clemson","ACC",NA
"Cooper, Matt","Clemson","ACC",NA
"Clark, Mat","Clemson","ACC",NA
"Anglin, Mack","Clemson","ACC",NA
"Lindley, Jackson","Clemson","ACC",NA
"Jones, Holt","Clemson","ACC",NA
"Estridge, Evan","Clemson","ACC",NA
"Reed, Sheldon","Clemson","ACC",NA
"Donathan, Drew","Clemson","ACC",NA
"Reid, Regan","Clemson","ACC",NA
"Ammons, Ryan","Clemson","ACC",NA
"Labriola, Paul","Clemson","ACC",NA
"O'Rear, Connor","Clemson","ACC",NA
"Totals","Clemson","ACC",1
"Opponent Totals","Clemson","ACC",1
"Guldberg, Michael","Georgia Tech","ACC",NA
"Radcliff, Baron","Georgia Tech","ACC",3
"Webb, Jackson","Georgia Tech","ACC",2
"Compton, Drew","Georgia Tech","ACC",NA
"Waddell, Luke","Georgia Tech","ACC",NA
"Hall, Colin","Georgia Tech","ACC",NA
"Holland, Jake","Georgia Tech","ACC",NA
"Wilhite, Austin","Georgia Tech","ACC",NA
"Reid, Stephen","Georgia Tech","ACC",NA
"Gonzalez, Tres","Georgia Tech","ACC",NA
"Jackson, Jadyn","Georgia Tech","ACC",NA
"Turley, Cameron","Georgia Tech","ACC",NA
"Benson, Charlie","Georgia Tech","ACC",NA
"Taylor, Jamie","Georgia Tech","ACC",NA
"Chapman, Hugh","Georgia Tech","ACC",NA
"Finley, Jackson","Georgia Tech","ACC",NA
"Crawford, Sam","Georgia Tech","ACC",NA
"Rigby, Paxton","Georgia Tech","ACC",NA
"Smith, Dalton","Georgia Tech","ACC",NA
"Bartnicki, Luke","Georgia Tech","ACC",NA
"Jenkins, Andrew","Georgia Tech","ACC",NA
"Westbrooks, Brody","Georgia Tech","ACC",NA
"Maxwell, Zach","Georgia Tech","ACC",NA
"Siegel, Josiah","Georgia Tech","ACC",NA
"Roedig, Cort","Georgia Tech","ACC",NA
"Hughes, Jonathan","Georgia Tech","ACC",NA
"Archer, Andy","Georgia Tech","ACC",NA
"Arnold, Jackson","Georgia Tech","ACC",NA
"Giesler, John","Georgia Tech","ACC",NA
"King, Ben","Georgia Tech","ACC",NA
"Coquillard, Will","Georgia Tech","ACC",NA
"Brace, Jake","Georgia Tech","ACC",NA
"Totals","Georgia Tech","ACC",5
"Opponent Totals","Georgia Tech","ACC",4
